latitude,longitude,score
38.988451,-77.098493,8.7
38.990246,-77.096707,7.8
38.988875,-77.100624,8.4
38.988099,-77.097818,7.3
38.988472,-77.097363,6.3
38.98919,-77.097274,6.2
38.966834,-77.076742,7.6
38.988849,-77.097663,8.1
38.988711,-77.097913,6.6
38.991092,-77.096821,6.3
38.991066,-77.09525,6.1
38.991229,-77.096226,6.5
38.992403,-77.048593,7.8
38.984116,-77.026259,8.4
38.994258,-77.025903,7.7
38.99634,-77.0242,8.8
38.995799,-77.029101,6.6
38.984116,-77.026259,6.4
38.990677,-77.023585,7.2
39.008961,-77.04086,7
38.997434,-77.025251,6.2
38.992812,-77.031579,6.8
38.990479,-77.025649,6
38.993991,-77.032137,6.4
38.957187,-76.940023,7.1
38.957187,-76.940023,5.4
38.957195,-76.940059,6.1
38.997366,-76.908013,6.7
39.000635,-76.876957,6.7
38.989371,-76.822481,5.8
38.982369,-77.093639,8.9
38.98586,-77.096494,7.3
38.98294,-77.094416,8.3
38.980723,-77.092171,7
38.983606,-77.0957,7.8
38.980704,-77.093138,7.4
38.981928,-77.095612,8.6
38.930902,-76.960239,7.4
38.983628,-77.09165,9.1
38.981812,-77.096187,8.7
38.979812,-77.091664,6.8
38.981952,-77.095553,9.1
38.980934,-77.02625,7.3
38.975281,-77.011214,7.2
38.974985,-77.012166,7.8
38.852042,-76.967184,8.3
38.98233,-77.018062,7.5
38.982428,-77.017394,7.5
38.979909,-76.937609,6
38.980444,-77.018415,5.9
38.973529,-76.845643,6
38.954482,-77.082952,8.8
38.962004,-77.087281,9.1
38.962333,-77.08514,7
38.956477,-77.091211,6.8
38.960352,-77.084867,9.1
38.960352,-77.084867,7.8
38.956477,-77.091211,7.1
38.956477,-77.091211,8.5
38.955972,-77.069892,8.3
38.964262,-77.075571,7.2
38.96336,-77.075036,7.1
38.924503,-76.976094,6.4
38.952638,-76.940448,8.7
38.954998,-76.940028,9
38.955522,-76.939761,8.8
38.94059,-76.904989,5.8
38.929092,-76.87167,6.7
38.933034,-77.08467,8.3
38.933034,-77.08467,8.7
38.948688,-77.079679,5.7
38.939287,-77.087184,5.9
38.933623,-77.073091,9.4
38.936142,-77.059189,7.3
38.934014,-77.057152,8.7
38.933132,-77.072958,7.8
38.933889,-77.057079,7.2
